date,IYJ,IYK
2024-11-14,139.7,68.55
2024-11-15,138.84,67.93
2024-11-18,139.1,68.45
2024-11-19,138.95,68.37
2024-11-20,138.98,68.75
2024-11-21,140.8,69.4
2024-11-22,142.39,69.92
2024-11-25,143.6,70.4
2024-11-26,143.52,70.64
2024-11-27,143.21,70.67
2024-11-29,143.93,70.92
2024-12-02,143.07,70.69
2024-12-03,142.27,70.03
2024-12-04,142.51,69.5
2024-12-05,141.31,69.85
2024-12-06,141.38,69.08
2024-12-09,140.07,68.87
2024-12-10,139.68,69.02
2024-12-11,140.1,68.26
2024-12-12,139.3,68.53
2024-12-13,138.97,68.37
2024-12-16,139.08,67.75
2024-12-17,137.65,67.01
2024-12-18,133.26,66.22
2024-12-19,133.67,65.74
2024-12-20,135.07,66.03
2024-12-23,134.94,65.78
2024-12-24,135.99,66.1
2024-12-26,136.28,66.22
2024-12-27,135.08,66.03
2024-12-30,133.6,65.32
2024-12-31,133.52,65.59
2025-01-02,132.82,65.3
2025-01-03,134.27,65.4
2025-01-06,133.8,64.36
2025-01-07,133.39,64.27
2025-01-08,133.86,64.52
2025-01-10,131.48,63.29
2025-01-13,132.87,63.85
2025-01-14,134.69,64.27
2025-01-15,136.29,64.0
2025-01-16,137.43,64.57
2025-01-17,138.3,64.92
2025-01-21,140.76,65.07
2025-01-22,140.77,64.87
2025-01-23,142.0,65.25
2025-01-24,141.64,65.51
2025-01-27,140.41,67.3
2025-01-28,139.94,66.18
2025-01-29,139.53,66.41
2025-01-30,141.52,67.0
2025-01-31,140.53,66.36
2025-02-03,139.33,66.45
2025-02-04,139.01,65.7
2025-02-05,140.17,65.88
2025-02-06,140.14,66.3
2025-02-07,139.3,66.33
2025-02-10,139.95,66.55
2025-02-11,139.92,67.44
2025-02-12,138.78,67.73
2025-02-13,139.39,68.44
2025-02-14,139.16,67.63
2025-02-18,140.4,67.91
2025-02-19,139.98,68.51
2025-02-20,138.63,68.86
2025-02-21,135.57,69.93
2025-02-24,135.18,70.16
2025-02-25,135.85,70.95
2025-02-26,135.88,69.85
2025-02-27,135.54,69.95
2025-02-28,137.17,70.76
2025-03-03,135.34,71.42
2025-03-04,132.05,70.3
2025-03-05,133.95,70.39
2025-03-06,132.25,70.76
2025-03-07,133.27,71.5
2025-03-10,130.9,71.8
2025-03-11,128.98,70.93
2025-03-12,129.08,69.53
2025-03-13,127.48,69.49
2025-03-14,129.88,69.6
2025-03-17,131.46,70.63
2025-03-18,130.4,69.76
2025-03-19,132.09,69.8
2025-03-20,131.2,69.61
2025-03-21,130.34,69.24
2025-03-24,132.92,69.38
2025-03-25,133.08,68.93
2025-03-26,132.34,70.12
2025-03-27,131.92,70.82
2025-03-28,129.1,70.59
2025-03-31,130.18,71.57
2025-04-01,130.86,71.65
2025-04-02,132.01,71.3
2025-04-03,124.83,72.42
2025-04-04,116.96,69.06
